timestamp,x_cam,y_cam,theta_cam,vL,vR
1764516104.88757,719.5,274.25,-3.1264422,33,29
1764516105.135975,717.5,274.0,3.1415925,33,29
1764516105.169309,717.5,273.75,-3.1264422,33,29
1764516105.202643,716.5,273.75,-3.1264422,33,29
1764516105.235977,716.5,273.75,-3.1264422,33,29
1764516105.269311,715.5,273.75,-3.1264422,33,29
1764516105.302645,715.25,273.75,-3.1262093,33,29
1764516105.335979,714.5,273.75,-3.1264422,33,29
1764516105.369313,714.0,273.75,-3.1264422,33,29
1764516105.402647,713.5,273.5,3.1415925,33,29
1764516105.435981,712.75,273.5,3.1415925,33,29
1764516105.469315,712.5,273.5,3.1415925,33,29
1764516105.502655,711.75,273.25,-3.1262093,33,29
1764516105.535989,711.0,273.25,-3.1264422,33,29
1764516105.569323,710.5,273.25,-3.1264422,33,29
1764516105.602657,710.0,273.0,-3.1112988,33,29
1764516105.635991,709.5,273.25,-3.1264422,33,29
1764516105.669325,709.0,273.0,-3.1112988,33,29
1764516105.7026591,708.25,273.0,-3.1108332,33,29
1764516105.7359931,708.0,273.0,-3.1112988,33,29
1764516105.7693272,707.0,272.75,-3.0961695,33,29
1764516105.8026612,707.0,273.0,-3.1112988,33,29
1764516105.835995,706.0,272.75,-3.0961695,33,29
1764516105.869329,705.75,272.5,-3.1117508,33,29
1764516105.902663,705.0,272.5,-3.1112988,33,29
1764516105.935997,704.25,272.25,-3.0954716,33,29
1764516105.969331,704.0,272.25,-3.0961695,33,29
1764516106.002665,703.25,272.5,-3.0801318,33,29
1764516106.035999,703.0,272.25,-3.0961695,33,29
1764516106.069333,702.0,272.25,-3.0961695,33,29
1764516106.102667,701.5,272.0,-3.0810606,33,29
1764516106.136001,701.0,272.0,-3.1112988,33,29
1764516106.1693351,700.5,272.0,-3.1112988,33,29
1764516106.2026691,700.0,271.75,-3.0961695,33,29
1764516106.2360032,699.25,271.75,-3.0954716,33,29
1764516106.2693372,698.5,271.5,-3.0810606,33,29
1764516106.3026712,698.25,271.5,-3.0801318,33,29
1764516106.3360052,697.5,271.5,-3.0810606,33,29
1764516106.369339,697.25,271.5,-3.0801318,33,29
1764516106.402673,696.5,271.5,-3.0810606,33,29
1764516106.436007,696.0,271.5,-3.0791738,33,29
1764516106.469341,695.25,271.5,-3.0801318,33,29
1764516106.502675,694.5,271.25,-3.0659795,33,29
1764516106.536009,694.5,271.0,-3.0810606,33,29
1764516106.569343,693.5,271.0,-3.0810606,33,29
1764516106.602677,693.25,270.75,-3.0671039,33,29
1764516106.6360111,692.5,270.5,-3.0810606,33,29
1764516106.6693451,691.75,270.5,-3.0801318,33,29
1764516106.7026792,691.5,270.5,-3.0810606,33,29
1764516106.7360132,691.0,270.5,-3.050933,33,29
1764516106.7693472,690.5,270.5,-3.0810606,33,29
1764516106.802681,689.5,270.25,-3.0659795,33,29
1764516106.836015,689.0,270.25,-3.0659795,33,29
1764516106.869349,688.5,270.25,-3.0659795,33,29
1764516106.9026828,688.0,270.0,-3.050933,33,29
1764516106.9360168,687.25,270.0,-3.0495458,33,29
1764516106.9693508,687.0,269.75,-3.0659795,33,29
1764516107.0026848,686.0,269.75,-3.0659795,33,29
1764516107.0360188,685.5,269.75,-3.0659795,33,29
1764516107.0693529,685.0,269.5,-3.050933,33,29
1764516107.102687,684.75,269.25,-3.0648208,33,29
1764516107.136021,684.0,269.25,-3.0659795,33,29
1764516107.169355,683.5,269.0,-3.048116,33,29
1764516107.202689,683.0,269.0,-3.050933,33,29
1764516107.236023,682.25,269.0,-3.0495458,33,29
1764516107.269357,682.0,269.0,-3.050933,33,29
1764516107.302691,681.0,268.75,-3.035927,33,29
1764516107.336025,680.75,268.75,-3.0343137,33,29
1764516107.369359,679.75,268.75,-3.0343137,33,29
1764516107.402693,679.5,268.5,-3.050933,33,29
1764516107.4360268,679.0,268.5,-3.050933,33,29
1764516107.4693608,678.25,268.25,-3.0343137,33,29
1764516107.5026948,677.75,268.25,-3.0343137,33,29
1764516107.5360289,677.25,268.25,-3.0343137,33,29
1764516107.5693629,676.5,268.0,-3.020969,33,29
1764516107.602697,676.0,267.75,-3.035927,33,29
1764516107.636031,675.5,267.75,-3.035927,33,29
1764516107.669365,674.75,267.75,-3.0343137,33,29
1764516107.702699,674.5,267.5,-3.020969,33,29
1764516107.736033,674.0,267.5,-3.0172377,33,29
1764516107.769367,673.5,267.25,-3.035927,33,29
1764516107.802701,672.5,267.0,-3.020969,33,29
1764516107.836035,672.5,267.0,-3.020969,33,29
1764516107.869369,671.5,267.0,-3.020969,33,29
1764516107.902703,671.25,267.0,-3.0191317,33,29
1764516107.936037,670.5,266.75,-3.035927,33,29
1764516107.9693708,670.0,266.5,-3.0172377,33,29
1764516108.0027049,669.25,266.5,-3.0191317,33,29
1764516108.0360389,668.75,266.25,-3.004006,33,29
1764516108.069373,668.25,266.25,-3.004006,33,29
1764516108.102707,667.5,266.0,-3.020969,33,29
1764516108.136041,667.25,266.0,-3.0191317,33,29
1764516108.169375,666.5,266.0,-3.020969,33,29
1764516108.202709,665.75,265.75,-3.004006,33,29
1764516108.236043,665.5,265.75,-3.006065,33,29
1764516108.269377,664.75,265.25,-3.004006,33,29
1764516108.302711,664.25,265.25,-3.004006,33,29
1764516108.336045,663.25,265.25,-3.004006,33,29
1764516108.369379,663.0,265.25,-3.006065,33,29
1764516108.402713,662.5,265.0,-2.9865959,33,29
1764516108.436047,662.0,264.75,-3.006065,33,29
1764516108.469381,661.5,264.75,-3.0018837,33,29
1764516108.5027149,661.0,264.75,-3.006065,33,29
1764516108.536049,660.25,264.5,-2.9889433,33,29
1764516108.569383,660.0,264.5,-2.9912212,33,29
1764516108.602717,659.0,264.25,-3.006065,33,29
1764516108.636051,658.5,264.25,-3.0018837,33,29
1764516108.669385,658.25,264.0,-2.9889433,33,29
1764516108.702719,657.5,263.75,-3.0018837,33,29
1764516108.736053,657.0,263.75,-3.006065,33,29
1764516108.769387,656.0,263.5,-2.9912212,33,29
1764516108.802721,656.0,263.5,-2.9912212,33,29
1764516108.836055,655.0,263.25,-3.006065,33,29
1764516108.869389,654.75,263.25,-2.9739501,33,29
1764516108.902723,654.25,262.75,-2.9739501,33,29
1764516108.936057,653.75,263.0,-2.9590328,33,29
1764516108.969391,653.25,262.5,-2.9889433,33,29
1764516109.0027251,652.75,262.5,-2.9889433,33,29
1764516109.036059,652.0,262.5,-2.9912212,33,29
1764516109.069393,651.5,262.5,-2.9912212,33,29
1764516109.102727,651.0,262.25,-2.9713807,33,29
1764516109.136061,650.25,262.0,-2.9590328,33,29
1764516109.169395,649.75,261.75,-2.9739501,33,29
1764516109.202729,649.0,261.75,-2.9713807,33,29
1764516109.236063,648.75,261.75,-2.9739501,33,29
1764516109.269397,648.25,261.5,-2.9889433,33,29
1764516109.302731,647.5,261.0,-2.961739,33,29
1764516109.336065,647.0,261.0,-2.9562447,33,29
1764516109.369399,646.5,261.0,-2.961739,33,29
1764516109.402733,646.0,261.0,-2.9562447,33,29
1764516109.436067,645.25,260.75,-2.9441972,33,29
1764516109.4694011,645.0,260.25,-2.9713807,33,29
1764516109.5027351,644.0,260.0,-2.9562447,33,29
1764516109.5360692,643.75,260.0,-2.9590328,33,29
1764516109.569403,643.25,260.0,-2.9590328,33,29
1764516109.602737,642.5,260.0,-2.961739,33,29
1764516109.636071,642.25,259.75,-2.9441972,33,29
1764516109.669405,641.5,259.25,-2.941194,33,29
1764516109.702739,641.0,259.25,-2.941194,33,29
1764516109.736073,640.25,259.0,-2.9590328,33,29
1764516109.769407,639.75,259.0,-2.9590328,33,29
1764516109.802741,639.25,259.0,-2.9590328,33,29
1764516109.836075,638.75,258.75,-2.9441972,33,29
1764516109.869409,638.25,258.5,-2.9294488,33,29
1764516109.902743,637.5,258.5,-2.926235,33,29
1764516109.936077,637.25,258.25,-2.9441972,33,29
1764516109.9694111,636.5,258.0,-2.9562447,33,29
1764516110.0027452,636.0,258.0,-2.9562447,33,29
1764516110.0360792,635.5,257.5,-2.926235,33,29
1764516110.0694132,634.5,257.5,-2.926235,33,29
1764516110.102747,634.5,257.5,-2.926235,33,29
1764516110.136081,633.5,257.25,-2.941194,33,29
1764516110.169415,633.25,257.0,-2.9590328,33,29
1764516110.202749,632.5,256.75,-2.941194,33,29
1764516110.236083,632.25,256.5,-2.9294488,33,29
1764516110.269417,631.5,256.5,-2.926235,33,29
1764516110.302751,630.75,256.5,-2.9294488,33,29
1764516110.336085,630.5,256.5,-2.926235,33,29
1764516110.369419,630.0,255.75,-2.9113731,33,29
1764516110.402753,629.5,255.5,-2.926235,33,29
