timestamp,x_cam,y_cam,theta_cam,vL,vR
1764515501.0794501,414.0,269.75,-1.3378171,0.0,0.0
1764515501.112784,414.25,269.75,-1.3608228,0.0,0.0
1764515501.146118,414.25,269.75,-1.3608228,0.0,0.0
1764515501.179452,414.25,269.75,-1.3608228,0.0,0.0
1764515501.212786,414.0,269.5,-1.3415644,0.0,0.0
1764515501.24612,414.0,269.5,-1.3415644,0.0,0.0
1764515501.279454,414.0,269.5,-1.3415644,0.0,0.0
1764515501.312788,414.0,269.5,-1.3415644,0.0,0.0
1764515501.346122,414.0,269.5,-1.3415644,0.0,0.0
1764515501.379456,414.0,269.5,-1.3415644,0.0,0.0
1764515501.41279,414.0,269.5,-1.3415644,0.0,0.0
1764515501.446124,414.0,269.5,-1.3415644,0.0,0.0
1764515501.479458,414.0,269.5,-1.3415644,0.0,0.0
1764515501.512792,414.0,269.5,-1.3415644,0.0,0.0
1764515501.5461261,414.0,269.5,-1.3415644,0.0,0.0
1764515501.5794601,414.0,269.5,-1.3415644,0.0,0.0
1764515501.6127942,414.0,269.5,-1.3415644,0.0,0.0
1764515501.6461282,414.0,269.5,-1.3415644,0.0,0.0
1764515501.679462,414.0,269.5,-1.3415644,0.0,0.0
1764515501.712796,414.0,269.5,-1.3415644,0.0,0.0
1764515501.74613,414.0,269.5,-1.3415644,0.0,0.0
1764515501.779464,414.0,269.5,-1.3415644,0.0,0.0
1764515501.812798,414.0,269.5,-1.3415644,0.0,0.0
1764515501.846132,414.0,269.5,-1.3415644,0.0,0.0
1764515501.879466,414.0,269.5,-1.3415644,0.0,0.0
1764515501.9128,414.0,269.5,-1.3415644,0.0,0.0
1764515501.946134,414.0,269.5,-1.3415644,0.0,0.0
1764515501.979468,414.0,269.5,-1.3415644,0.0,0.0
1764515502.0128021,414.0,269.5,-1.3415644,0.0,0.0
1764515502.0461361,414.0,269.5,-1.3415644,0.0,0.0
1764515502.0794702,414.0,269.5,-1.3415644,0.0,0.0
1764515502.1128042,414.0,269.5,-1.3415644,0.0,0.0
1764515502.1461382,414.0,269.5,-1.3415644,0.0,0.0
1764515502.179472,414.0,269.5,-1.3415644,0.0,0.0
1764515502.212806,414.0,269.5,-1.3415644,0.0,0.0
1764515502.24614,414.0,269.5,-1.3415644,0.0,0.0
1764515502.279474,414.0,269.5,-1.3415644,0.0,0.0
1764515502.312808,414.0,269.5,-1.3415644,0.0,0.0
1764515502.346142,414.0,269.5,-1.3415644,0.0,0.0
1764515502.379476,414.0,269.5,-1.3415644,0.0,0.0
1764515502.41281,414.0,269.5,-1.3415644,0.0,0.0
